operation;value;success;time_ns;operations
delete;11943;true;23700;2467
delete;7402;true;15300;1541
delete;32220;true;1500;75
delete;53794;true;9300;537
delete;39755;true;1000;37
delete;74482;true;27700;2247
delete;39006;true;1900;119
delete;43410;true;2300;161
delete;60222;true;5200;439
delete;50;true;800;21
delete;83871;true;7200;659
delete;56466;true;11400;1043
delete;67005;true;8000;751
delete;9457;true;19500;1965
delete;73951;true;21900;2115
delete;59918;true;3900;383
delete;60065;true;4100;411
delete;23972;true;1000;26
delete;90551;true;23600;2047
delete;43915;true;3600;251
delete;8970;true;22100;1885
delete;39042;true;1700;123
delete;53264;true;4900;423
delete;13446;true;29300;2755
delete;77261;true;31500;2853
delete;56647;true;13100;1083
delete;27966;true;2300;137
delete;3418;true;7300;683
delete;84539;true;8700;805
delete;90146;true;20000;1967
delete;62485;true;10800;903
delete;84997;true;9500;915
delete;37752;true;1500;53
delete;1546;true;3900;335
delete;6261;true;13700;1307
delete;68025;true;10700;969
delete;38818;true;1100;79
delete;5158;true;11400;1079
delete;89690;true;19000;1877
delete;55130;true;9800;815
delete;60701;true;6100;555
delete;4885;true;10400;1029
delete;86716;true;13600;1267
delete;49640;true;7100;513
delete;17165;true;39000;3465
delete;87660;true;15400;1467
delete;2901;true;6400;585
delete;81188;true;1400;107
delete;14204;true;30600;2889
delete;96089;true;36700;3239
delete;76154;true;30200;2651
delete;66597;true;7000;679
delete;52666;true;3500;315
delete;55409;true;8700;863
delete;7482;true;16600;1559
delete;14800;true;29300;2993
delete;90537;true;22900;2043
delete;89490;true;16400;1835
delete;62009;true;9700;807
delete;88613;true;16100;1657
delete;72558;true;23000;1863
delete;65150;true;4300;377
delete;14156;true;31800;2887
delete;7294;true;14900;1509
delete;32893;true;900;23
delete;71354;true;15600;1577
delete;91486;true;23900;2225
delete;62668;true;11400;951
delete;20931;true;64000;4247
delete;45248;true;6500;511
delete;65840;true;5700;505
delete;98103;true;43400;3621
delete;22853;true;3400;199
delete;50604;true;9100;719
delete;92846;true;26800;2521
delete;42947;true;1100;79
delete;83198;true;5000;521
delete;76576;true;46000;2733
delete;41708;true;3600;255
