operation;value;success;time_ns;operations
insert;77144;true;6100;125
insert;47079;true;3600;62
insert;39232;true;23400;67
insert;72370;true;4400;102
insert;68074;true;3000;81
insert;98024;true;6400;144
insert;41578;true;23600;63
insert;79277;true;6600;151
insert;96852;true;6200;146
insert;52527;true;2100;40
insert;60257;true;13800;50
insert;28523;true;53800;65
insert;50069;true;4900;37
insert;34283;true;1751200;40
insert;97451;true;7065000;149
insert;53554;true;274000;47
insert;48203;true;3500;28
insert;30479;true;165900;66
insert;87626;true;6800;107
insert;5950;true;4600;111
insert;51096;true;174800;47
insert;2491;true;6664300;90
insert;35296;true;13900;23
insert;50185;true;51300;47
insert;64433;true;2300;77
insert;52428;true;1400;43
insert;54107;true;1900;62
insert;84287;true;1900;94
insert;2123;true;1600;89
insert;32532;true;4800;30
insert;81042;true;1200;77
insert;29589;true;1900;26
insert;94825;true;3200;150
insert;77046;true;3100;142
insert;39003;true;1300;38
insert;60185;true;1500;54
insert;4630;true;1700;112
insert;71864;true;3000;111
insert;7608;true;1700;133
insert;82817;true;1200;89
insert;576;true;800;82
insert;45358;true;1800;41
insert;4525;true;1600;117
insert;900;true;1000;94
insert;90986;true;2100;138
insert;80753;true;2800;167
insert;7134;true;2000;139
insert;96620;true;2400;167
insert;71603;true;1600;113
insert;59563;true;900;53
insert;57065;true;2200;73
insert;75898;true;1800;146
insert;15358;true;2600;192
insert;75974;true;2000;149
insert;9720;true;1900;165
insert;90315;true;1800;138
insert;65169;true;900;88
insert;49963;true;1800;46
insert;11401;true;2100;178
insert;58842;true;800;48
insert;60929;true;1200;69
insert;80284;true;2300;183
insert;25003;true;1700;29
insert;29967;true;992400;47
insert;43456;true;7900;34
insert;51189;true;2900;56
insert;49509;true;1100;46
insert;5066;true;47200;133
insert;45685;true;3400;49
insert;17623;true;4400;216
insert;31689;true;2400;33
insert;86749;true;2100;115
insert;37198;true;1600;26
insert;29440;true;1000;28
insert;77946;true;3700;172
insert;81645;true;1100;90
insert;7582;true;1800;151
insert;984;true;1100;104
insert;80828;true;1200;85
insert;28814;true;177100;44
insert;77532;true;5300;167
insert;88329;true;2700;136
insert;59549;true;2400;58
insert;48604;true;1100;43
insert;34160;true;139900;46
insert;47241;true;1900;38
insert;987;true;1900;107
insert;74649;true;2900;148
insert;67931;true;1400;101
insert;94230;true;3600;173
insert;49642;true;1500;55
insert;40830;true;1800;51
insert;30676;true;11500;43
insert;39154;true;1900;42
insert;45746;true;1800;52
insert;81485;true;1100;96
insert;64013;true;1000;90
insert;27512;true;17200;29
insert;34907;true;24500;53
insert;84539;true;1800;121
insert;8365;true;2700;170
insert;48756;true;1600;52
insert;69871;true;1900;123
insert;57572;true;1700;78
insert;26438;true;19700;42
insert;63887;true;1000;92
insert;29825;true;28700;50
insert;48883;true;1100;55
insert;89553;true;1800;150
insert;54153;true;1200;67
insert;32916;true;14800;46
insert;86018;true;1800;131
insert;26896;true;12700;50
